date,hour,is_weekend_or_holiday,event_flag,name,current_crawds,weather_code,temperature,humidity,cloud,chance_of_rain
2024-06-23,13:00,1,0,,9.44,1009,24.9,73,100,45
2024-06-23,14:00,1,0,,36.82,1009,25.8,73,100,45
2024-06-23,15:00,1,1,KEN MIYAKE,70.12,1006,25.1,81,63,0
2024-06-23,16:00,1,0,,71.6,1009,25.4,86,94,45
2024-06-23,17:00,1,0,,60.5,1063,25.5,87,97,45
2024-06-23,18:00,1,0,,19.8,1063,25.3,87,88,45
2024-06-23,19:00,1,0,,10.92,1063,25.7,84,66,45
2024-06-23,20:00,1,0,,7.96,1003,25.7,84,50,0
2024-06-23,21:00,1,0,,7.96,1003,25.1,86,57,0
2024-06-23,22:00,1,0,,6.48,1006,24.4,86,69,45
2024-06-24,10:00,0,0,,5.0,1003,23.9,85,37,0
2024-06-24,11:00,0,0,,5.0,1000,25.4,78,25,0
2024-06-24,12:00,0,0,,5.0,1003,27.0,72,39,0
2024-06-24,13:00,0,0,,5.0,1000,27.8,68,18,0
2024-06-24,14:00,0,0,,6.48,1000,28.3,66,15,0
2024-06-24,15:00,0,0,,6.48,1000,28.4,66,16,0
2024-06-24,16:00,0,0,,5.0,1000,28.0,68,15,0
2024-06-24,17:00,0,0,,5.0,1000,27.9,68,13,0
2024-06-24,18:00,0,0,,5.0,1000,27.4,70,12,0
2024-06-24,19:00,0,0,,5.0,1003,27.0,71,45,0
2024-06-24,20:00,0,0,,5.0,1003,26.8,71,49,0
2024-06-24,21:00,0,0,,5.0,1063,26.7,71,74,45
2024-06-24,22:00,0,0,,5.0,1003,26.3,72,35,0
2024-06-25,10:00,0,0,,5.0,1003,27.5,67,44,45
2024-06-25,11:00,0,0,,5.0,1003,28.4,63,25,0
2024-06-25,12:00,0,0,,5.0,1000,29.1,60,24,0
2024-06-25,13:00,0,0,,5.0,1003,29.6,58,45,0
2024-06-25,14:00,0,0,,5.0,1003,28.4,61,46,0
2024-06-25,15:00,0,0,,5.0,1006,28.1,61,79,0
2024-06-25,16:00,0,0,,5.0,1003,27.9,60,35,0
2024-06-25,17:00,0,0,,6.48,1063,28.4,57,57,45
2024-06-25,18:00,0,0,,5.0,1003,28.2,57,47,0
2024-06-25,19:00,0,0,,5.0,1003,27.5,59,48,0
2024-06-25,20:00,0,0,,5.0,1003,27.2,59,53,0
2024-06-25,21:00,0,0,,5.0,1000,26.3,64,22,0
2024-06-25,22:00,0,0,,5.0,1000,25.7,66,13,0
2024-06-26,10:00,0,0,,5.0,1063,26.4,63,76,45
2024-06-26,11:00,0,0,,5.0,1063,26.2,63,77,45
2024-06-26,12:00,0,0,,5.0,1003,26.0,63,53,0
2024-06-26,13:00,0,0,,5.0,1003,27.4,59,40,0
2024-06-26,14:00,0,0,,5.0,1003,27.7,57,36,0
2024-06-26,15:00,0,0,,5.0,1000,27.8,57,18,0
2024-06-26,16:00,0,0,,5.0,1000,27.6,58,20,0
2024-06-26,17:00,0,0,,5.0,1003,27.0,61,30,0
2024-06-26,18:00,0,0,,5.0,1003,26.1,64,48,0
2024-06-26,19:00,0,0,,5.0,1003,25.4,65,51,0
2024-06-26,20:00,0,0,,5.0,1063,24.8,66,70,45
2024-06-26,21:00,0,0,,5.0,1063,24.4,67,74,45
2024-06-26,22:00,0,0,,5.0,1006,24.3,67,78,0
2024-06-27,10:00,0,0,,5.0,1003,25.6,57,49,0
2024-06-28,10:00,0,0,,6.48,1189,21.6,92,100,100
2024-06-28,11:00,0,0,,6.48,1189,21.7,92,100,100
2024-06-28,12:00,0,0,,6.48,1189,21.6,92,100,100
2024-06-28,13:00,0,0,,6.48,1240,21.7,87,98,100
2024-06-28,14:00,0,0,,6.48,1240,21.5,89,100,100
2024-06-28,15:00,0,0,,6.48,1183,22.0,91,100,100
2024-06-28,16:00,0,0,,6.48,1189,22.1,91,100,100
2024-06-28,17:00,0,0,,7.22,1189,21.7,92,100,100
2024-06-28,18:00,0,0,,7.22,1189,21.3,92,100,100
2024-06-28,19:00,0,0,,6.48,1153,21.2,89,100,100
2024-06-28,20:00,0,0,,6.48,1240,21.1,88,100,100
2024-06-28,21:00,0,0,,5.0,1153,20.8,89,100,100
2024-06-28,22:00,0,0,,6.48,1183,20.8,88,100,100
2024-06-29,10:00,1,0,,7.96,1009,22.1,81,96,0
